date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,weekday
2017-11-24,53.3,54.18,54.1,51.64,565454.38,0.66,1.24,55.25,54.108,52.963,520731.32,457332.17,438714.28,4
2017-11-23,56.1,56.13,53.44,53.1,460453.47,-2.99,-5.3,55.16,54.038,52.794,506661.56,441974.77,422479.1,3
2017-11-22,57.59,57.93,56.43,55.55,511095.53,-1.23,-2.13,55.048,53.954,52.62,495860.24,442183.99,419496.05,2
2017-11-21,54.95,57.67,57.66,54.91,651454.5,3.04,5.57,54.218,53.459,52.319,465442.12,473513.55,411941.95,1
2017-11-20,53.5,54.66,54.62,52.55,415198.72,0.97,1.81,53.148,52.968,51.865,410982.45,456695.97,391874.68,0
2017-11-17,52.9,54.3,53.65,52.4,495105.59,0.77,1.46,52.966,52.775,51.516,393933.03,461067.99,382757.62,4
2017-11-16,52.2,53.02,52.88,51.61,406446.84,0.6,1.15,52.916,52.475,51.215,377287.97,438602.61,369967.15,3
2017-11-15,51.9,52.75,52.28,51.33,359004.97,-0.03,-0.06,52.86,52.311,51.003,388507.75,420789.12,360726.98,2
2017-11-14,53.63,53.63,52.31,51.7,379156.12,-1.4,-2.61,52.7,52.144,50.825,481584.98,420747.3,354887.43,1
2017-11-13,53.75,54.4,53.71,53.15,329951.62,0.31,0.58,52.788,52.013,50.617,502409.5,420592.25,354102.73,0
2017-11-10,52.63,53.66,53.4,52.1,411880.31,0.8,1.52,52.584,51.818,50.274,528202.96,420096.38,349507.73,4
2017-11-09,51.57,52.65,52.6,50.35,462545.72,1.12,2.18,52.034,51.55,49.988,499917.26,402983.43,338762.57,3
2017-11-08,52.76,54.68,51.48,50.8,824391.12,-1.27,-2.41,51.762,51.286,49.742,453070.48,396808.11,326288.66,2
2017-11-07,52.7,54.08,52.75,51.9,483278.72,0.06,0.11,51.588,51.178,49.523,359909.62,350370.35,305750.77,1
2017-11-06,50.8,53.16,52.69,50.32,458918.91,2.04,4.03,51.238,50.762,49.218,338775.0,327053.39,300290.51,0
2017-11-03,51.28,51.82,50.65,50.4,270451.81,-0.59,-1.15,51.052,50.256,48.907,311989.8,304447.24,298304.83,4
2017-11-02,50.5,51.37,51.24,50.2,228311.86,0.63,1.25,51.066,49.955,48.584,306049.59,301331.68,297369.35,3
2017-11-01,51.06,52.28,50.61,50.3,358586.81,-0.39,-0.77,50.81,49.694,48.194,340545.73,300664.84,297920.72,2
2017-10-31,51.6,52.35,51.0,50.3,377605.62,-0.76,-1.47,50.768,49.506,47.854,340831.08,289027.57,291605.05,1
2017-10-30,51.2,51.76,51.76,49.9,324992.88,1.04,2.05,50.286,49.221,47.438,315331.78,287613.22,281847.53,0
2017-10-27,50.19,51.2,50.72,49.96,240750.8,0.76,1.52,49.46,48.729,47.004,296904.68,278919.08,281928.73,4
2017-10-26,50.52,51.51,49.96,49.95,400792.53,-0.44,-0.87,48.844,48.425,46.673,296613.76,274541.72,288268.7,3
